"","Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID"
"1328","1/17/1998","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","window hit","Non-selasphorus spp.","1328_ANHU"
"1329","1/23/1998","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","1329_ANHU"
"1330","1/25/1998","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","1330_ANHU"
"1331","2/14/1998","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","window hit","Non-selasphorus spp.","1331_ANHU"
"1332","2/14/1998","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","1332_ANHU"
"1333","2/14/1998","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Winter","nest-related","Non-selasphorus spp.","1333_ANHU"
"1334","2/15/1998","Released","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","1334_ANHU"
"1335","2/17/1998","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","window hit","Non-selasphorus spp.","1335_ANHU"
"1336","2/17/1998","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","1336_ANHU"
"1337","2/19/1998","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","1337_ANHU"
"1338","2/20/1998","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","caught by domestic animal","Non-selasphorus spp.","1338_ANHU"
"1339","2/19/1998","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Winter","unknown","Non-selasphorus spp.","1339_ANHU"
"1340","2/21/1998","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Winter","caught by domestic animal","Non-selasphorus spp.","1340_ANHU"
"1341","2/21/1998","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","1341_ANHU"
"1342","2/23/1998","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Winter","found inside","Non-selasphorus spp.","1342_ANHU"
"1343","2/23/1998","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Winter","found on the ground","Non-selasphorus spp.","1343_ANHU"
"1344","2/25/1998","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Winter","nest-related","Non-selasphorus spp.","1344_ANHU"
"1345","2/25/1998","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Winter","nest-related","Non-selasphorus spp.","1345_ANHU"
"1346","2/25/1998","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Winter","found on the ground","Non-selasphorus spp.","1346_ANHU"
"1347","2/26/1998","Released","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","1347_ANHU"
"1348","3/1/1998","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","1348_ANHU"
"1349","3/1/1998","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","1349_ANHU"
"1350","3/2/1998","Released","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","1350_ANHU"
"1351","3/2/1998","Released","Lindsey","No","Selasphorus","Female-like","adult-like",0,"Spring","window hit","Selasphorus spp.","1351_ALHU"
"1352","3/4/1998","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","1352_ANHU"
"1353","3/7/1998","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","1353_ANHU"
"1354","3/8/1998","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","1354_ANHU"
"1355","3/12/1998","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",3,"Spring","nest-related","Non-selasphorus spp.","1355_ANHU"
"1356","3/12/1998","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",3,"Spring","nest-related","Non-selasphorus spp.","1356_ANHU"
"1357","3/15/1998","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","window hit","Non-selasphorus spp.","1357_ANHU"
"1358","3/17/1998","Released","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","1358_ANHU"
"1359","3/25/1998","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","1359_ANHU"
"1360","3/28/1998","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Spring","found on the ground","Non-selasphorus spp.","1360_ANHU"
"1361","3/28/1998","Died","Lindsey","Yes","Selasphorus","Female-like","adult-like",0,"Spring","found on the ground","Selasphorus spp.","1361_RUHU"
"1362","3/29/1998","Released","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","1362_ANHU"
"1363","3/30/1998","Released","Lindsey","No","Selasphorus","Female-like","adult-like",0,"Spring","window hit","Selasphorus spp.","1363_ALHU"
